date,AI,Blockchain technology,Cloud services
2022-04-10,4.301075268817205,40.54054054054054,20.54794520547945
2022-04-17,3.225806451612903,47.2972972972973,24.65753424657534
2022-04-24,3.225806451612903,54.054054054054056,24.65753424657534
2022-05-01,3.225806451612903,36.486486486486484,19.17808219178082
2022-05-08,3.225806451612903,45.94594594594595,23.28767123287671
2022-05-15,3.225806451612903,37.83783783783784,20.54794520547945
2022-05-22,3.225806451612903,39.189189189189186,16.43835616438356
2022-05-29,3.225806451612903,37.83783783783784,17.80821917808219
2022-06-05,4.301075268817205,35.13513513513514,20.54794520547945
2022-06-12,5.376344086021505,32.432432432432435,17.80821917808219
2022-06-19,4.301075268817205,32.432432432432435,24.65753424657534
2022-06-26,4.301075268817205,32.432432432432435,30.136986301369863
2022-07-03,4.301075268817205,27.027027027027028,21.91780821917808
